nombre,descripcion,fuente,url,tipo_documento,relevancia_predicha,explicacion_predicha,tiempo_ejecucion_seg,tokens_prompt,tokens_respuesta,tokens_totales,relevancia_real,explicacion_real,ano,exitos,peso_real
Circular N° 6 del 16 de Enero del 2025,Imparte instrucciones sobre las modificaciones introducidas al Código Tributario por la Ley N° 21.713 en materia de grupos empresariales y el procedimiento de fiscalización unificado. Complementa la Circular N° 12 de 2021.,Subdireccion Juridica,https://www.sii.cl/normativa_legislacion/circulares/2025/circu6.pdf,circular,No Relevante,"No cumple reglas de negocio. La normativa se centra en grupos empresariales, fiscalización unificada y sostenibilidad tributaria, sin abordar directamente los temas específicos listados como relevantes para el sistema de cumplimiento normativo automatizado de la fintech.",3.419,7112,61,7173,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 30 del 06 de Marzo del 2025,"Fija nómina de territorios o jurisdicciones que tienen un régimen fiscal preferencial, conforme al Artículo 41 H de la Ley sobre Impuesto a la Renta",Subdireccion De Fiscalizacion,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso30.pdf,resolucion,No Relevante,"La normativa se centra en fijar una nómina de territorios con régimen fiscal preferencial según el artículo 41 H de la Ley sobre Impuesto a la Renta, lo cual no se relaciona directamente con los temas de boletas, comprobantes electrónicos, registros de compra o venta, cumplimiento tributario automatizado, inicio de actividades, medios de pago electrónicos, POS, operadores y administradores, comercio electrónico, o PSP.",4.354,1479,100,1579,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 10 del 16 de Enero del 2025,Delega facultad que indica en la funcionaria que se individualiza,Subdireccion Juridica,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso10.pdf,resolucion,No Relevante,"La normativa se refiere a la delegación de facultades para absolver posiciones en un juicio específico, lo cual no está relacionado con los temas definidos como relevantes para el sistema de cumplimiento normativo automatizado de la fintech. No cumple reglas de negocio.",3.14,877,63,940,No Relevante,No se encontraron reglas de negocio,2025,0,0
Circular N° 18 del 21 de Febrero del 2025,"Imparte instrucciones sobre la competencia de las Unidades del Servicio para realizar actuaciones que indica de conformidad con las disposiciones del N° 11 de la letra B) del artículo 6°; inciso primero del artículo 65 bis y artículo 65 ter, todos del Código Tributario. Complementa Circular N° 41 de 2015.",Subdireccion Juridica,https://www.sii.cl/normativa_legislacion/circulares/2025/circu18.pdf,circular,No Relevante,No cumple reglas de negocio.,2.379,2715,19,2734,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 52 del 25 de Abril del 2025,Autoriza a proceder conforme al modelo de operación de contabilidad electrónica a los contribuyentes que señala,Subdireccion De Asistencia Al Contribuyente,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso52.pdf,resolucion,No Relevante,"La normativa se centra en autorizar a ciertos contribuyentes a operar bajo un modelo de contabilidad electrónica, lo cual no se relaciona directamente con los temas especificados como boletas, comprobantes electrónicos, registro de compra, registro de venta, cumplimiento tributario, inicio de actividades, medios de pago electrónicos, POS, operadores y administradores, comercio electrónico o PSP. No cumple reglas de negocio.",4.533,1908,94,2002,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 56 del 30 de Abril del 2025,Aprueba Convenio de Intercambio de Información y Colaboración entre el Servicio de Registro Civil e Identificación y el Servicio de Impuestos Internos.,Subdireccion De Asistencia Al Contribuyente,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso56.pdf,resolucion,No Relevante,"La normativa se centra en un convenio de intercambio de información y colaboración entre el Servicio de Registro Civil e Identificación y el Servicio de Impuestos Internos, sin abordar directamente temas relacionados con boletas, comprobantes electrónicos, registros de compra o venta, cumplimiento tributario, inicio de actividades, medios de pago electrónicos, POS, operadores y administradores, comercio electrónico o PSP. No cumple reglas de negocio.",4.513,8515,94,8609,No Relevante,Contiene 'inicio de actividades',2025,1,1
Resolución Exenta SII N° 82 del 03 de Julio del 2025,"Aprueba Convenio de Intercambio de Información y Colaboración entre la Unidad Administradora de los Tribunales Tributarios y Aduaneros, y del Tribunal de Contratación Pública y el Servicio de Impuestos Internos.",Subdireccion De Asistencia Al Contribuyente,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso82.pdf,resolucion,No Relevante,"La normativa se centra en un convenio de intercambio de información y colaboración entre el Servicio de Impuestos Internos y la Unidad Administradora de los Tribunales Tributarios y Aduaneros, y del Tribunal de Contratación Pública. No aborda directamente temas relacionados con boletas, comprobantes electrónicos, registros de compra o venta, cumplimiento tributario, inicio de actividades, medios de pago electrónicos, POS, operadores y administradores, comercio electrónico, o PSP.",4.426,3672,105,3777,No Relevante,No se encontraron reglas de negocio,2025,0,0
Circular N° 44 del 12 de Junio del 2025,Tablas de impuesto único de segunda categoría para el mes de julio de 2025 e información adicional relacionada con dicho tributo.,Subdireccion De Normativa,https://www.sii.cl/normativa_legislacion/circulares/2025/circu44.pdf,circular,No Relevante,"La normativa se centra en las tablas de impuesto único de segunda categoría y no aborda temas relacionados con boletas, comprobantes electrónicos, registros de compra o venta, cumplimiento tributario automatizado, inicio de actividades, medios de pago electrónicos, POS, operadores y administradores, comercio electrónico o PSP.",13.966,2703,72,2775,No Relevante,No se encontraron reglas de negocio,2025,0,0
Circular N° 17 del 12 de Febrero del 2025,Informa tabla de cálculos de reajustes y multas para el mes de marzo 2025.,Subdireccion De Fiscalizacion Departamento De Diseno De Procedimientos,https://www.sii.cl/normativa_legislacion/circulares/2025/circu17.pdf,circular,No Relevante,"La normativa se centra en informar sobre tablas de cálculos de reajustes y multas, lo cual no se relaciona directamente con los temas definidos como relevantes para el sistema de cumplimiento normativo automatizado de la fintech. No cumple reglas de negocio.",3.172,1645,62,1707,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 59 del 06 de Mayo del 2025,Establece procedimiento para efectuar denuncias anónimas de conformidad al artículo 100 quáter del código tributario,Subdireccion Juridica,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso59.pdf,resolucion,No Relevante,"No cumple reglas de negocio. La normativa se centra en el procedimiento para efectuar denuncias anónimas de delitos tributarios, lo cual no se relaciona directamente con los temas especificados como boletas, comprobantes electrónicos, registro de compra, registro de venta, cumplimiento tributario automatizado, inicio de actividades, medios de pago electrónicos, POS, operadores y administradores, comercio electrónico, o PSP.",3.786,2924,94,3018,No Relevante,Contiene 'donaciones',2025,1,1
Circular N° 34 del 25 de Abril del 2025,Imparte instrucciones sobre las modificaciones introducidas por la Ley N° 21.713 a los artículos 101 y 206 del Código Tributario. Modifica Circular N° 35 de 2022,Subdireccion Juridica,https://www.sii.cl/normativa_legislacion/circulares/2025/circu34.pdf,circular,No Relevante,No cumple reglas de negocio.,1.572,1283,19,1302,No Relevante,No se encontraron reglas de negocio,2025,0,0
Circular N° 22 del 11 de Marzo del 2025,Informa tabla de cálculos de reajustes y multas para el mes de abril 2025.,Subdireccion De Fiscalizacion,https://www.sii.cl/normativa_legislacion/circulares/2025/circu22.pdf,circular,No Relevante,"La normativa se centra en informar sobre tablas de cálculos de reajustes y multas para un periodo específico, lo cual no se relaciona directamente con los temas definidos como relevantes para el sistema de cumplimiento normativo automatizado de la fintech.",2.828,1698,60,1758,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 71 del 19 de Junio del 2025,"Imparte instrucciones sobre procedimiento para que las empresas certificadoras independientes puedan otorgar certificación anual de sostenibilidad tributaria a los contribuyentes, de acuerdo con el párrafo segundo del N° 18 del artículo 8° del Código Tributario.",Subdireccion De Fiscalizacion,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso71.pdf,resolucion,Relevante,"La normativa se relaciona directamente con el cumplimiento tributario, ya que establece un procedimiento para que las empresas certificadoras independientes otorguen certificación anual de sostenibilidad tributaria a los contribuyentes. Esto implica la evaluación de prácticas de cumplimiento tributario responsable y la implementación de un marco de control fiscal, lo cual es relevante para un sistema de cumplimiento normativo automatizado en una fintech.",4.487,15085,90,15175,No Relevante,Contiene 'cumplimiento tributario',2025,1,1
Resolución Exenta SII N° 46 del 10 de Abril del 2025,Aprueba Convenio de Intercambio de Información y Colaboración entre la Superintendencia de Educación y el Servicio de Impuestos Internos.,Subdireccion De Asistencia Al Contribuyente,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso46.pdf,resolucion,No Relevante,"La normativa se centra en un convenio de intercambio de información y colaboración entre la Superintendencia de Educación y el Servicio de Impuestos Internos, sin abordar directamente temas relacionados con boletas, comprobantes electrónicos, registros de compra o venta, cumplimiento tributario, inicio de actividades, medios de pago electrónicos, POS, operadores y administradores, comercio electrónico o PSP. No cumple reglas de negocio.",3.855,7801,92,7893,No Relevante,Contiene 'donaciones',2025,1,1
Circular N° 14 del 10 de Febrero del 2025,Tablas de impuesto único de segunda categoría para el mes de marzo de 2025 e información adicional relacionada con dicho tributo.,Subdireccion Normativa,https://www.sii.cl/normativa_legislacion/circulares/2025/circu14.pdf,circular,No Relevante,"La normativa se centra en las tablas de impuesto único de segunda categoría y no aborda ninguno de los temas específicos relacionados con el cumplimiento tributario automatizado de una fintech, como boletas, comprobantes electrónicos, registros de compra o venta, medios de pago electrónicos, entre otros.",3.269,2655,68,2723,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 49 del 17 de Abril del 2025,Tramitación de las autodenuncias conforme al artículo 100 sexies del Código Tributario.,Subdireccion Juridica,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso49.pdf,resolucion,No Relevante,"No cumple reglas de negocio. La normativa se centra en el procedimiento de autodenuncias por diferencias de impuestos que podrían constituir delitos tributarios, lo cual no se relaciona directamente con los temas especificados como boletas, comprobantes electrónicos, registro de compra, registro de venta, cumplimiento tributario automatizado, inicio de actividades, medios de pago electrónicos, POS, operadores y administradores, comercio electrónico, o PSP.",5.013,2067,99,2166,No Relevante,No se encontraron reglas de negocio,2025,0,0
Circular N° 43 del 05 de Junio del 2025,"Tabla de Cálculos de Reajustes, Intereses y Multas sobre Pagos Provisionales Mensuales Obligatorios (PPMO) con obligación tributaria anual cumplida, para aplicarse durante el año 2025.",Subdireccion De Fiscalizacion,https://www.sii.cl/normativa_legislacion/circulares/2025/circu43.pdf,circular,No Relevante,"La normativa se centra en la tabla de cálculos de reajustes, intereses y multas sobre pagos provisionales mensuales obligatorios (PPMO) y no aborda ninguno de los temas específicos relacionados con el cumplimiento normativo automatizado de la fintech, como boletas, comprobantes electrónicos, registros de compra o venta, medios de pago electrónicos, etc.",3.225,2189,83,2272,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 17 del 07 de Febrero del 2025,Aprueba Addendum al Convenio de Intercambio de Información y Colaboración entre el Servicio Electoral y el Servicio de Impuestos Internos,Subdireccion De Asistencia Al Contribuyente,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso17.pdf,resolucion,No Relevante,"La normativa se centra en un addendum al convenio de intercambio de información y colaboración entre el Servicio Electoral y el Servicio de Impuestos Internos, sin abordar temas relacionados con boletas, comprobantes electrónicos, registros de compra o venta, cumplimiento tributario, inicio de actividades, medios de pago electrónicos, POS, operadores y administradores, comercio electrónico o PSP. No cumple reglas de negocio.",3.762,2457,91,2548,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 45 del 10 de Abril del 2025,"Fija contenido, forma y plazo para dar cumplimiento a la obligación de informar de la superintendencia del medio ambiente, respecto de los proyectos de inversión, en el contexto de la contribución para el desarrollo regional.",Subdireccion De Fiscalizacion,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso45.pdf,resolucion,No Relevante,"La normativa se centra en la obligación de informar a la superintendencia del medio ambiente sobre proyectos de inversión en el contexto de la contribución para el desarrollo regional. No aborda temas relacionados con boletas, comprobantes electrónicos, registros de compra o venta, cumplimiento tributario, inicio de actividades, medios de pago electrónicos, POS, operadores y administradores, comercio electrónico, o PSP.",3.507,1778,90,1868,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 69 del 19 de Junio del 2025,Instruye forma en que los bancos comerciales deben cumplir la obligación a que se refiere el inciso segundo del artículo 89 del código tributario.,Subdireccion De Fiscalizacion,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso69.pdf,resolucion,Relevante,"La normativa es relevante porque establece obligaciones para los bancos comerciales relacionadas con el ""inicio de actividades"" de personas jurídicas o entidades empresariales al tramitar solicitudes de crédito o préstamo. Esto afecta el cumplimiento tributario, ya que los bancos deben verificar y reportar esta información al Servicio de Impuestos Internos (SII), lo cual es un proceso que puede ser automatizado por una fintech.",4.737,1367,90,1457,No Relevante,Contiene 'inicio de actividades',2025,1,1
