url,tipo_documento,origen,anno,nombre_archivo,fuente,nombre,descripcion
https://www.sii.cl/normativa_legislacion/resoluciones/2022/reso129.pdf,resolucion,resoluciones_2022.csv,2022,resolución_exenta_sii_n_129_del_29_de_diciembre_del_2022,Subdireccion De Avaluaciones,Resolución Exenta SII N° 129 del 29 de Diciembre del 2022,"Fija Valores De Terrenos Y Construcciones Para El Reavalúo 2023, De Los Bienes Raíces No Agrícolas Correspondientes A Sitios No Edificados, Propiedades Abandonadas O Pozos Lastreros, Ubicados En Las Áreas Urbanas."
https://www.sii.cl/normativa_legislacion/resoluciones/2022/reso128.pdf,resolucion,resoluciones_2022.csv,2022,resolución_exenta_sii_n_128_del_29_de_diciembre_del_2022,Subdireccion De Fiscalizacion,Resolución Exenta SII N° 128 del 29 de Diciembre del 2022,Establece forma de declaración y pago de los impuestos establecidos en el decreto Ley Nº 3475 de 1980 sobre impuesto de timbres y estampillas. Deja sin efecto resolución exenta Nº 2824 de 1994.
https://www.sii.cl/normativa_legislacion/resoluciones/2022/reso127.pdf,resolucion,resoluciones_2022.csv,2022,resolución_exenta_sii_n_127_del_28_de_diciembre_del_2022,Subdireccion De Fiscalizacion,Resolución Exenta SII N° 127 del 28 de Diciembre del 2022,"Regula obligación de presentar declaración anual sobre operaciones en el exterior por medio de formulario N° 1929; deja sin efecto resoluciones exentas SII Nº120 de 2016, N°105 de 2017, N°87 de 2018, N°109 de 2020."
https://www.sii.cl/normativa_legislacion/resoluciones/2022/reso126.pdf,resolucion,resoluciones_2022.csv,2022,resolución_exenta_sii_n_126_del_28_de_diciembre_del_2022,Subdireccion De Fiscalizacion,Resolución Exenta SII N° 126 del 28 de Diciembre del 2022,"Fija nóminas de agentes retenedores y de contribuyentes sujetos a retención, conforme a resolución Ex. SII N° 42, de 30 de abril de 2018, que dispuso el cambio de sujeto para el cumplimiento de IVA."
https://www.sii.cl/normativa_legislacion/resoluciones/2022/reso125.pdf,resolucion,resoluciones_2022.csv,2022,resolución_exenta_sii_n_125_del_26_de_diciembre_del_2022,Subdireccion De Avaluaciones,Resolución Exenta SII N° 125 del 26 de Diciembre del 2022,Instruye giro y pago del impuesto establecido en el artículo 9 de la Ley 21.420.
https://www.sii.cl/normativa_legislacion/resoluciones/2022/reso124.pdf,resolucion,resoluciones_2022.csv,2022,resolución_exenta_sii_n_124_del_26_de_diciembre_del_2022,Subdireccion De Avaluaciones,Resolución Exenta SII N° 124 del 26 de Diciembre del 2022,"Fija registro del precio corriente en plaza de helicópteros, aviones y yates, según lo establecido en el artículo 9° de la Ley N° 21.420."
https://www.sii.cl/normativa_legislacion/resoluciones/2022/reso123.pdf,resolucion,resoluciones_2022.csv,2022,resolución_exenta_sii_n_123_del_21_de_diciembre_del_2022,Subdireccion De Asistencia Al Contribuyente,Resolución Exenta SII N° 123 del 21 de Diciembre del 2022,Autoriza a emitir mensualmente una única boleta electrónica de ventas y servicios en la forma y condiciones que indica.
https://www.sii.cl/normativa_legislacion/resoluciones/2022/reso122.pdf,resolucion,resoluciones_2022.csv,2022,resolución_exenta_sii_n_122_del_21_de_diciembre_del_2022,Subdireccion De Asuntos Corporativos,Resolución Exenta SII N° 122 del 21 de Diciembre del 2022,"Aprueba Acuerdo entre el Servicio de Impuestos Internos y la Defensoría del Contribuyente, sobre implementación de la Clave Tributaria."
https://www.sii.cl/normativa_legislacion/resoluciones/2022/reso121.pdf,resolucion,resoluciones_2022.csv,2022,resolución_exenta_sii_n_121_del_21_de_diciembre_del_2022,Subdireccion De Fiscalizacion,Resolución Exenta SII N° 121 del 21 de Diciembre del 2022,"Autoriza a sociedad de servicios transaccionales caja vecina S.A., Rut N°76.727.730-K, para retener y enterar en arcas fiscales el impuesto al valor agregado según se indica."
https://www.sii.cl/normativa_legislacion/resoluciones/2022/reso120.pdf,resolucion,resoluciones_2022.csv,2022,resolución_exenta_sii_n_120_del_14_de_diciembre_del_2022,Subdireccion De Fiscalizacion,Resolución Exenta SII N° 120 del 14 de Diciembre del 2022,"Fija nómina “contribuyentes iva sd afectos a cambio de sujeto” a que se refiere la Resolución Ex. SII N°46 de 2022, respecto de cuyos servicios se retendrá el impuesto al valor agregado conforme al inciso 7° del artículo 3° de la Ley sobre Impuesto a las Ventas y Servicios."
